#{"t_start": 1755882016.6101272, "env_id": "None"}
r,l,t
0.003004,182,6.647742
0.003004,182,6.749974
0.0.098772,856,9.585997
0.646557,856,10.247673
0.399634,856,13.090431
0.828696,856,13.687771
-0.100579,856,14.286364
1.24958,856,17.158687
1.129506,856,17.769091
1.345281,856,20.630993
2.265536,856,21.176795
1.772914,856,25.668712
2.205801,856,26.95886
2.603756,856,28.573188
3.118908,856,34.191976
3.01572,856,35.210441
2.991981,856,40.168827
2.586212,856,40.932476
3.238706,856,41.99302
3.53716,856,44.749155
3.657904,856,45.886033
3.56625,856,50.640606
3.667713,856,51.645712
899,182,22.128339
0.55899,182,22.229316
0.749928,182,28.870249
0.749928,182,29.101407
0.749928,182,29.274075
0.749928,182,29.503728
0.749928,182,29.724746
0.911871,182,35.741628
0.911871,182,35.899827
0.911871,182,36.057651
0.911871,182,36.214199
0.911871,182,36.371167
1.007734,182,41.405361
1.007734,182,41.493547
1.007734,182,41.579856
1.007734,182,41.6707
1.007734,182,41.776888
1.079368,182,46.074633
1.079368,182,46.23045
1.079368,182,46.386081
1.079368,182,46.542995
1.079368,182,46.699741
1.153021,182,52.169616
1.153021,182,52.326044
1.153021,182,52.455019
1.153021,182,52.544552
1.153021,182,52.632028
